run_accession	sample_alias	sample_title	read_count	base_count	fastq_ftp	fastq_md5	library_strategy	library_layout	instrument_model	study_accession	experiment_accession	scientific_name	tax_id
ERR1512530	GMI-FA01	Thyroid tissue sample	25670979	5185537758	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/000/ERR1512530/ERR1512530_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/000/ERR1512530/ERR1512530_2.fastq.gz	fb19821e22b0d2604be96075707ab5b5;c0d96fff916cc2ec858047687a878baa	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1583557	Homo sapiens	9606
ERR1518626	SNU-GMI-FA01	Thyroid tissue sample	25670979	5185537758	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR1518626/ERR1518626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR1518626/ERR1518626_2.fastq.gz	f87930201e776a303af473d6dc878084;2ee1c120917fa12dfe51a3488314373b	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589605	Homo sapiens	9606
ERR1518627	SNU-GMI-FA01-N	Thyroid tissue sample	33791705	6825924410	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR1518627/ERR1518627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR1518627/ERR1518627_2.fastq.gz	50893ca58cd2bb6ae22492c5f0508568;84bc208256e92ca380ead7b923e7d9c7	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589606	Homo sapiens	9606
ERR1518628	SNU-GMI-FA02	Thyroid tissue sample	49713540	10042135080	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/008/ERR1518628/ERR1518628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/008/ERR1518628/ERR1518628_2.fastq.gz	86b2888208d4570b3ee9e7a743239e67;d758b282590f0161c593b0a841b92b23	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589607	Homo sapiens	9606
ERR1518629	SNU-GMI-FA02-N	Thyroid tissue sample	14870933	3003928466	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/009/ERR1518629/ERR1518629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/009/ERR1518629/ERR1518629_2.fastq.gz	a3d1b6edfac05936c37f4896de6d1d7a;162c12b363777d4223934a02e13fd3f2	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589608	Homo sapiens	9606
ERR1518630	SNU-GMI-FA03	Thyroid tissue sample	35133146	7096895492	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/000/ERR1518630/ERR1518630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/000/ERR1518630/ERR1518630_2.fastq.gz	ef7af4febbf0e435b1a6b194deeacf91;d26e50a365836b5f5fb8d911c0aa6274	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589609	Homo sapiens	9606
ERR1518631	SNU-GMI-FA03-N	Thyroid tissue sample	25594782	5170145964	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/001/ERR1518631/ERR1518631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/001/ERR1518631/ERR1518631_2.fastq.gz	b19d7dd4250f5514910bf543d8dda050;9e7bdff3bd71ba26d94480d20f36d304	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589610	Homo sapiens	9606
ERR1518632	SNU-GMI-FA04	Thyroid tissue sample	36847718	7443239036	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR1518632/ERR1518632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR1518632/ERR1518632_2.fastq.gz	29d2a4aab9df3529c86c1f74ec5c34bb;6096745c26eafcd8d9d906b781de7c23	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589611	Homo sapiens	9606
ERR1518633	SNU-GMI-FA04-N	Thyroid tissue sample	18438044	3724484888	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/003/ERR1518633/ERR1518633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/003/ERR1518633/ERR1518633_2.fastq.gz	3308ab455c3a77e3c45ab3b4c7d73c0a;3f34df29133b2ca200dede3e5e856a1f	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589612	Homo sapiens	9606
ERR1518634	SNU-GMI-FA05	Thyroid tissue sample	28902052	5838214504	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/004/ERR1518634/ERR1518634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/004/ERR1518634/ERR1518634_2.fastq.gz	2af9995c267410a480db187af04fecf9;7a127bb238be2d973a2f38e4627a7682	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589613	Homo sapiens	9606
ERR1518635	SNU-GMI-FA05-N	Thyroid tissue sample	12522839	2529613478	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/005/ERR1518635/ERR1518635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/005/ERR1518635/ERR1518635_2.fastq.gz	41d1591a0ed793e9231a0585244fdd67;ae4f1ca908c157cb9e2444d30a7c7627	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589614	Homo sapiens	9606
ERR1518636	SNU-GMI-FA06	Thyroid tissue sample	38717793	7820994186	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR1518636/ERR1518636_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR1518636/ERR1518636_2.fastq.gz	ef4d0c7ea6016f68ce95524fac60aa7f;11e9c16f49bc7ef637cb4c530a4f7a48	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589615	Homo sapiens	9606
ERR1518637	SNU-GMI-FA06-N	Thyroid tissue sample	19081170	3854396340	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR1518637/ERR1518637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR1518637/ERR1518637_2.fastq.gz	34f478de1a2d4382436ec4d41925b531;96f780a6929a118b0f5c6644a4de2fb8	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589616	Homo sapiens	9606
ERR1518638	SNU-GMI-FA07	Thyroid tissue sample	15743268	3180140136	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/008/ERR1518638/ERR1518638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/008/ERR1518638/ERR1518638_2.fastq.gz	6c6029f5f0be909ed56c658672c793a3;a922e120cd349b9ae1848cd32ea44021	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589617	Homo sapiens	9606
ERR1518639	SNU-GMI-FA07-N	Thyroid tissue sample	32209893	6506398386	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/009/ERR1518639/ERR1518639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/009/ERR1518639/ERR1518639_2.fastq.gz	d3ba0e6dc41809b50e425e593b41f55a;f0479b943f0d33910902361dd32d3c92	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589618	Homo sapiens	9606
ERR1518640	SNU-GMI-FA08	Thyroid tissue sample	31097670	6281729340	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/000/ERR1518640/ERR1518640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/000/ERR1518640/ERR1518640_2.fastq.gz	e7c3c65e9e87400266b3915b0cf5e679;63d403f721dee6598b613a802439f714	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589619	Homo sapiens	9606
ERR1518641	SNU-GMI-FA08-N	Thyroid tissue sample	41536436	8390360072	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/001/ERR1518641/ERR1518641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/001/ERR1518641/ERR1518641_2.fastq.gz	c8642eae65ef61a92b2e2d0ed0bcd8c3;052c443f38e8b7015fa48d2210c8887a	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589620	Homo sapiens	9606
ERR1518642	SNU-GMI-FA09	Thyroid tissue sample	16689633	3371305866	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR1518642/ERR1518642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR1518642/ERR1518642_2.fastq.gz	66d612b0efb0353185400085282724c3;ea3e7bfb503ad7083c26925a2bbb021d	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589621	Homo sapiens	9606
ERR1518643	SNU-GMI-FA09-N	Thyroid tissue sample	37077945	7489744890	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/003/ERR1518643/ERR1518643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/003/ERR1518643/ERR1518643_2.fastq.gz	3a8b6cd64d5834fc3b1b344189e27383;926330668c4c76ff11e812b6cc6bb9f4	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589622	Homo sapiens	9606
ERR1518644	SNU-GMI-FA10	Thyroid tissue sample	26658627	5385042654	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/004/ERR1518644/ERR1518644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/004/ERR1518644/ERR1518644_2.fastq.gz	70214e3ab82e7bb4e759ae19ecb8d974;1a1d84c2c5d9180f289bf6bf14ec573b	RNA-Seq	PAIRED	Illumina HiSeq 2000	PRJEB11591	ERX1589623	Homo sapiens	9606
