gsm	unsup	panel_z	histology	unsup_t
GSM6590918	DM2	0.4298743491261484	PTC	DM2
GSM6590997	DM2	-0.41686372943127875	PTC	DM2
GSM6590998	DM2	0.4252799151675961	PTC	DM2
GSM6590999	DM2	-0.5021808955213294	PTC	DM2
GSM6591000	DM2	-0.1436074937355897	PTC	DM2
GSM6591001	DM2	-0.07969868742752446	PTC	DM2
GSM6591002	DM2	-0.5822433733385054	PTC	DM2
GSM6591003	DM2	0.9105784279751854	PTC	DM2
GSM6591004	DM2	-0.31704783658153296	PTC	DM2
GSM6591005	DM1	-3.0940362004391084	PTC	DM1
GSM6591006	DM2	0.2627351159950114	PTC	DM2
GSM6591007	DM2	0.23127029727655338	PTC	DM2
GSM6591008	DM2	0.3895026669334545	PTC	DM2
GSM6591009	DM2	-0.304166944526796	PTC	DM2
GSM6591010	DM2	0.10367959690398945	PTC	DM2
GSM6591011	DM2	0.3216451015631025	PTC	DM2
GSM6591012	DM2	0.4019360152736806	PTC	DM2
GSM6591013	DM2	-0.37505648997453556	PTC	DM2
GSM6591014	DM2	0.5501585095915357	PTC	DM2
GSM6591015	DM2	-0.3460683349827282	PTC	DM2
GSM6591016	DM2	-0.6770575792725317	PTC	DM2
GSM6591017	DM2	0.11422023650027797	PTC	DM2
GSM6591018	DM2	-0.50912025009009	PTC	DM2
GSM6591019	DM2	-0.4310876089520521	PTC	DM2
GSM6591020	DM2	0.39280096242592494	PTC	DM2
GSM6591021	DM2	0.3267836778129421	PTC	DM2
GSM6591022	DM2	0.08327808337717056	PTC	DM2
GSM6591023	DM2	-0.3184592315949456	PTC	DM2
GSM6591024	DM2	-0.4976627484867918	PTC	DM2
GSM6591025	DM2	0.7362473118711159	PTC	DM2
GSM6591026	DM2	-0.7249540494629864	PTC	DM2
GSM6591027	DM2	-0.05282180382823008	PTC	DM2
GSM6591028	DM2	-0.19722124936894897	PTC	DM2
GSM6591029	DM2	0.3474007894630452	PTC	DM2
GSM6591030	DM2	0.7781138426518197	PTC	DM2
GSM6591031	DM2	-0.5810403897349038	PTC	DM2
GSM6591032	DM2	0.1488011042569841	PTC	DM2
GSM6591033	DM2	-0.30881967849786757	PTC	DM2
GSM6591034	DM2	-0.3251605310910103	PTC	DM2
GSM6591035	DM2	-1.2945680824990764	PTC	DM2
GSM6591036	DM2	0.04269108156373253	PTC	DM2
GSM6591037	DM2	-0.39926970517224675	PTC	DM2
GSM6591038	DM2	0.5456924263104355	PTC	DM2
GSM6591039	DM2	-0.23796576157993662	PTC	DM2
GSM6591040	DM2	0.004786649871431895	PTC	DM2
GSM6591041	DM2	0.16784949423678208	PTC	DM2
GSM6591042	DM2	-0.22394945685712705	PTC	DM2
GSM6591043	DM2	-0.8651530449032118	PTC	DM2
GSM6591044	DM2	-0.4878793929589742	PTC	DM2
GSM6591045	DM2	-0.25942331987281786	PTC	DM2
GSM6591046	DM2	0.09622463596015404	PTC	DM2
GSM6591047	DM1	-1.6027414114416594	PTC	DM1
GSM6591048	DM2	-0.20959898462606616	PTC	DM2
GSM6591049	DM2	-0.9466946255753074	PTC	DM2
GSM6591050	DM2	-0.710174909967196	PTC	DM2
GSM6591051	DM2	-0.3876134190723301	PTC	DM2
GSM6591052	DM2	-0.1518596169852731	PTC	DM2
GSM6591053	DM2	0.0005066795082443136	PTC	DM2
GSM6591054	DM2	-0.025779170393972928	PTC	DM2
GSM6591055	DM2	-0.9086018220173937	PTC	DM2
GSM6591056	DM2	-0.7666008595820105	PTC	DM2
GSM6591057	DM2	-0.4733551106772845	PTC	DM2
GSM6591058	DM2	0.1300741939375323	PTC	DM2
GSM6591059	DM2	-0.35991160709278475	PTC	DM2
GSM6591060	DM2	-0.5243614537292105	PTC	DM2
GSM6591061	DM2	-0.08944942973945554	PTC	DM2
GSM6591062	DM2	-0.4823323567305812	PTC	DM2
GSM6591063	DM2	-0.16531857049957693	PTC	DM2
GSM6591064	DM2	-0.568986421705464	PTC	DM2
GSM6591065	DM2	-0.4924773255503059	PTC	DM2
GSM6591066	DM2	-0.2086504703256733	PTC	DM2
GSM6591067	DM2	-0.5847780578301969	PTC	DM2
GSM6591068	DM2	-0.15269760795203097	PTC	DM2
GSM6591069	DM2	0.18701307981650048	PTC	DM2
GSM6591070	DM2	-0.03901782836340584	PTC	DM2
