sample	histology	n_cells	median_DM	mean_DM	pct_DM1
ATC08	ATC	213	-0.5940411	-0.5844235	0.004694835680751174
ATC10	ATC	67	-0.5940411	-0.59007454	0.0
ATC11	ATC	174	-0.5940411	-0.5922736	0.0
ATC12	ATC	1296	-0.5940411	-0.5933374	0.0
ATC13	ATC	3308	-0.5940411	-0.5648435	0.007859733978234583
ATC14	ATC	15	-0.5940411	-0.35707465	0.13333333333333333
ATC15	ATC	56	-0.5940411	-0.2004474	0.19642857142857142
ATC17	ATC	8	-0.5940411	-0.5940411	0.0
ATC09	ATC	897	-0.52367234	-0.51441574	0.0
NORM19	NORM	261	0.9790093	1.030782	0.9540229885057471
NORM03	NORM	136	1.3135209	1.1882291	0.8235294117647058
NORM07	NORM	123	1.4788692	1.4262899	0.9186991869918699
NORM21	NORM	8	1.7465864	1.6365805	1.0
NORM20	NORM	24	2.0693028	2.4063365	1.0
NORM18	NORM	123	2.1356905	2.0901225	1.0
PTC04	PTC	1197	0.11349656	0.18126543	0.6290726817042607
PTC03	PTC	86	0.19387409	0.13754463	0.6046511627906976
PTC05	PTC	629	0.19714457	0.16853672	0.7154213036565977
PTC01	PTC	3565	0.27931005	0.26878408	0.8246844319775596
PTC07	PTC	2727	0.3623136	0.3720033	0.8973230656398973
PTC06	PTC	417	0.3782913	0.34970024	0.8489208633093526
