doi	title	abstract	year	pmid	pmcid	matched_via
10.1111/his.70152	TERT promoter-mutated thyroid carcinomas: prognostic and histologic insights according to the WHO 2022 classification.		2026	41992958		europepmc
10.1530/erc-25-0424	Value of TERT Promoter Mutations for Early Outcomes in Papillary Thyroid Cancer.		2026	41989876		europepmc
10.1016/j.eclinm.2026.103839	A histo-clinical score to predict evolution to radioactive iodine-refractory of the follicular cell-derived thyroid carcinoma (PREDIRAIR): a single-centre, prospective, cohort study.		2026	41969334	PMC13068576	europepmc
10.3348/jksr.2026.0032	Molecular Markers in Follicular Thyroid Carcinoma: Moving Toward Better Prediction of Distant Metastasis.		2026	41971118	PMC13062366	europepmc
10.1186/s12902-026-02200-6	Utilities of next-generation sequencing in the surgical management of thyroid nodules in China.		2026	41787459	PMC13072540	europepmc
10.1530/ec-25-0703	Integrating TERT promoter mutations into risk stratification of papillary thyroid cancer.		2026	41428800	PMC12771558	europepmc
10.20452/pamw.17252	TERT promoter variants in risk stratification of Polish patients with papillary thyroid carcinoma.		2026	41841562		europepmc
10.1093/bjsopen/zraf137	Correction to: Approach to risk stratification for papillary thyroid carcinoma based on molecular profiling: institutional analysis.		2025	41504706	PMC12781191	europepmc
10.3390/ijms27031497	Detection of TERT Promoter Mutations in Papillary Thyroid Carcinoma Using Droplet Digital PCR and Their Association with Aggressive Tumor Features.		2026	41683917	PMC12897844	europepmc
10.3390/biomedicines14020453	Cancer Stemness and Dedifferentiation in Anaplastic Thyroid Carcinoma: Insights into a Multigenic, Microenvironmental Network and the Role of CD44.		2026	41751352	PMC12938669	europepmc
10.1016/j.semdp.2026.151010	Molecular findings in thyroid tumors: Practical diagnostic, prognostic, and therapeutic insights.		2026	42024994		europepmc
10.4132/jptm.2026.01.15	Clinicopathological profile of high-grade differentiated thyroid carcinoma in Indonesian tertiary hospital.		2026	42021520		europepmc
10.1016/j.anndiagpath.2025.152578	Characterizing thyroid carcinomas in the elderly: Histological subtypes and TERT promoter mutation analysis based on the latest WHO classification.		2026	41135466		europepmc
10.3390/diagnostics16071078	Frequency of TERT Promoter Mutations in Ameloblastoma: A Retrospective Study.		2026	41975789	PMC13073283	europepmc
10.3348/jksr.2025.0034	Predictive Factors for Distant Metastasis in Follicular Thyroid Carcinoma: Analysis of Clinical, Genetic, and Radiomics Features.		2026	41971109	PMC13062369	europepmc
