method_a	method_b	ARI	NMI
Leiden	Leiden	1.0	1.0
Leiden	KMeans	0.7276638973404095	0.6868189063425427
Leiden	GMM	0.7865856136744991	0.7104238110475538
Leiden	Spectral	0.8267073909248268	0.7448098187879468
Leiden	HDBSCAN_fallback	0.5955632056492399	0.5351315147889247
KMeans	Leiden	0.7276638973404095	0.6868189063425427
KMeans	KMeans	1.0	1.0
KMeans	GMM	0.806892531270489	0.7205460257451572
KMeans	Spectral	0.6164364393713592	0.5977617155535399
KMeans	HDBSCAN_fallback	0.39243499195254355	0.40284913600138855
GMM	Leiden	0.7865856136744991	0.7104238110475538
GMM	KMeans	0.806892531270489	0.7205460257451572
GMM	GMM	1.0	1.0
GMM	Spectral	0.7082044334992061	0.6668410766729684
GMM	HDBSCAN_fallback	0.4971255735985275	0.5025241516547081
Spectral	Leiden	0.8267073909248268	0.7448098187879468
Spectral	KMeans	0.6164364393713592	0.5977617155535399
Spectral	GMM	0.7082044334992061	0.6668410766729684
Spectral	Spectral	1.0	1.0
Spectral	HDBSCAN_fallback	0.6661641441448866	0.5682982098943191
HDBSCAN_fallback	Leiden	0.5955632056492399	0.5351315147889247
HDBSCAN_fallback	KMeans	0.39243499195254355	0.40284913600138855
HDBSCAN_fallback	GMM	0.4971255735985275	0.5025241516547081
HDBSCAN_fallback	Spectral	0.6661641441448866	0.5682982098943191
HDBSCAN_fallback	HDBSCAN_fallback	1.0	1.0
