pathway	Name	pathway	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	source
0	prerank	Oxidative phosphorylation	0.7913410394700401	1.639053943864663	0.0	0.030189931160321804	0.02	71/120	8.58%	NDUFA5;ATP6V0E2;COX10;ATP5F1B;NDUFB2;ATP5F1A;UQCRC2;ATP6V1H;ATP5MC1;NDUFC2;COX8A;CYC1;COX15;SDHD;ATP5PD;SDHC;ATP4A;UQCRFS1;NDUFS1;UQCRHL;ATP5PB;ATP6V0D1;NDUFB5;ATP5MC3;ATP6V1D;COX7B;UQCRH;NDUFA8;NDUFA10;NDUFA1;NDUFS2;UQCR10;COX11;ATP5F1C;NDUFV1;NDUFA6;NDUFV3;NDUFB3;ATP5PF;NDUFA12;COX5A;NDUFB11;COX6C;NDUFB6;ATP6AP1;ATP6V0E1;NDUFS4;COX6A1;SDHB;COX7C;ATP6V1G2;ATP6V0B;SDHA;COX7A2;NDUFA2;NDUFA9;UQCRQ;ATP6V1E2;NDUFS3;UQCRC1;ATP5MC2;PPA2;COX5B;NDUFS6;NDUFB1;NDUFB10;NDUFB9;ATP5PO;NDUFA4;NDUFS7;ATP6V1C1	KEGG
1	prerank	Staphylococcus aureus infection	-0.9502301513581274	-1.5271004021373236	0.0	0.0	0.0	45/87	3.65%	ICAM1;C3;KRT19;KRT15;HLA-DQA1;ITGB2;HLA-DRB1;CFH;HLA-DOA;KRT17;SELPLG;ITGAM;HLA-DPB1;HLA-DRA;HLA-DPA1;HLA-DQB1;HLA-DRB5;CFI;FCGR2B;HLA-DQA2;HLA-DOB;FCGR2A;FPR3;HLA-DMA;C2;C1S;CFB;C1QB;PTAFR;C1R;C1QC;C1QA;C3AR1;FCGR3A;FPR1;ITGAL;C4B;FCGR2C;SELP;C5AR1;C4A;KRT14;FCGR1A;KRT13;KRT16	KEGG
2	prerank	Citrate cycle (TCA cycle)	0.9272091633392634	1.5131852403940063	0.00558659217877095	0.2258439081031766	0.281	20/30	5.63%	OGDHL;OGDH;SUCLG1;DLD;FH;MDH2;SUCLA2;IDH3B;SDHD;ACO2;SDHC;PDHA1;DLAT;DLST;SUCLG2;CS;PDHB;SDHB;SDHA;IDH3A	KEGG
3	prerank	Glyoxylate and dicarboxylate metabolism	0.9290982472302688	1.5103633764446973	0.0056022408963585435	0.15907771419092645	0.294	14/29	4.29%	GLDC;ACSS1;GCSH;PCCB;DLD;ACAT1;HOGA1;MDH2;ACO2;MMUT;PCCA;CS;PGP;ACSS2	KEGG
4	prerank	Propanoate metabolism	0.9171398729637824	1.5047042805269297	0.0	0.1335323878245003	0.318	25/34	6.92%	ACACB;ALDH6A1;ACSS1;MLYCD;DBT;SUCLG1;PCCB;DLD;ACAT1;BCKDHB;ACADS;EHHADH;SUCLA2;MMUT;PCCA;SUCLG2;ECHS1;HADHA;ACSS2;ACACA;ACSS3;ACOX3;MCEE;HIBCH;LDHB	KEGG
5	prerank	Lysine degradation	0.8177235526306577	1.4987817043898528	0.016877637130801686	0.12075972464128722	0.344	20/63	5.66%	ALDH1B1;DHTKD1;ALDH7A1;HADH;ALDH9A1;ALDH2;PRDM16;DLD;ACAT1;EHHADH;HYKK;KMT5A;DLST;SETMAR;GCDH;ECHS1;HADHA;TMLHE;AADAT;KMT5B	KEGG
6	prerank	Cell adhesion molecules	-0.9001856728821621	-1.4981420311672116	0.0	0.0019054723544340746	0.004	78/144	5.69%	CLDN1;ICAM1;CLDN16;CLDN10;SDC4;CDH3;HLA-DQA1;ITGB2;HLA-DRB1;SELL;HLA-DOA;SELPLG;SDC3;ITGAM;HLA-DPB1;SPN;HLA-DRA;HLA-DPA1;HLA-DQB1;CD2;HLA-DRB5;CLDN2;CD86;ITGB8;CD40;HLA-DQA2;HLA-DOB;HLA-G;CD6;PTPRC;HLA-B;CD4;VCAN;HLA-DMA;TIGIT;CD58;HLA-F;CTLA4;ITGB7;HLA-A;HLA-C;CD276;CD22;CNTNAP1;ITGAL;CD28;ICOS;PDCD1;ITGA4;SELP;CDH4;CADM3;NLGN2;NRCAM;CD40LG;ICAM3;CD8B;CDH15;HLA-E;PDCD1LG2;VTCN1;CD8A;VCAM1;CLDN4;NECTIN1;SIGLEC1;CD274;CD226;HLA-DMB;CLDN11;PTPRF;CLDN9;VSIR;CD80;NCAM2;CLDN7;NTNG2;ITGA9	KEGG
7	prerank	Complement and coagulation cascades	-0.9336032042732807	-1.4757476563351715	0.0	0.006669153240519261	0.017	34/85	3.69%	SERPINA1;PLAU;PLAUR;PROS1;C3;CLU;ITGB2;CFH;ITGAX;CD55;ITGAM;CFI;C7;C2;F5;C1S;CFB;SERPING1;C1QB;C1R;C1QC;C1QA;VSIG4;C3AR1;C4B;C5AR1;CR1;C4A;PROCR;CR2;PROC;SERPINF2;F3;SERPINE1	KEGG
8	prerank	Systemic lupus erythematosus	-0.8981031556323891	-1.4713622842269258	0.0	0.006669153240519261	0.024	32/129	3.81%	C3;HLA-DQA1;HLA-DRB1;HLA-DOA;HLA-DPB1;HLA-DRA;HLA-DPA1;HLA-DQB1;HLA-DRB5;CD86;CD40;HLA-DQA2;HLA-DOB;FCGR2A;C7;HLA-DMA;C2;C1S;C1QB;C1R;C1QC;C1QA;ACTN1;FCGR3A;CD28;C4B;CD40LG;C4A;H2AX;FCGR1A;TRIM21;H2AW	KEGG
9	prerank	Cytokine-cytokine receptor interaction	-0.8542680206511352	-1.4688918883440303	0.0	0.006478606005075854	0.029	120/287	5.18%	CXCL14;IL1RAP;CCL18;CXCL2;CCL13;TNFRSF12A;LTB;EBI3;INHBB;CXCL17;CCL22;TNFRSF18;IL2RG;CCL5;CSF2RA;IL7R;NGFR;CXCL8;CXCL16;CD40;CCR1;TNFRSF1B;CCR2;CCR5;IL10RA;IL2RA;TNFRSF21;CD4;CSF2RB;CSF2;IL2RB;CCL17;OSMR;CSF1R;CXCL9;FAS;IL18;IFNE;CCL19;TGFBR1;TNFRSF1A;TNFSF14;TNFRSF10A;IL4R;CXCR6;IL1RL1;CXCL10;TNFRSF25;IL1RN;CXCL13;TNFSF11;IL6R;CCR4;CCL2;TNFSF13B;TNFSF9;CD70;CCR7;IL12RB1;TGFB1;CCL20;TNFSF4;IL21R;LIF;RELT;TNFRSF9;INHBA;CSF1;IL1R2;GDF15;CXCR4;CLCF1;IL32;CXCL11;CCL4;IL7;CRLF2;CD40LG;LEPR;OSM;CTF1;CX3CL1;LTA;IL16;IL15RA;TNFSF8;CXCR3;XCL1;TNFSF15;TGFB3;IFNAR2;XCR1;CXCL3;FASLG;IFNGR1;IL6;CSF3R;TNFRSF13C;IL27RA;CCL4L2;IL1B;TNFSF18;XCL2;CCL21;CXCL5;CCL23;IL36RN;CXCL1;TNFRSF13B;TNFRSF10B;TNFRSF8;IL18RAP;TNFRSF11A;TNFRSF17;IL23A;TNFSF12;CCL24;ACVR1;TNFRSF10C;IFNG	KEGG
