auc_pre	auc_flip_pre	auc_post	auc_flip_post	dial	partial_flip_score	dial_v2	batch_identifiability_post	interpretation	leak_safe	cancer	classifier	n_samples	n_genes	semi_synthetic	seconds
0.9939978816052725	0.9939978816052725	0.9939978816052725	0.9939978816052725	0.0	0.0	0.0		true_biology	True	THCA	LogReg_l2	392	3000	False	0.8
0.9956160997999294	0.9956160997999294	0.9956160997999294	0.9956160997999294	0.0	0.0	0.0		true_biology	True	THCA	RandomForest	392	3000	False	2.07
0.7814972996286988	0.7814972996286988	0.7814972996286988	0.7814972996286988	0.0	0.0	0.0		true_biology	True	THCA	XGBoost	392	3000	False	10.19
0.9942921030952101	0.9942921030952101	0.9942921030952101	0.9942921030952101	0.0	0.0	0.0		true_biology	True	THCA	LogReg_elasticnet	392	3000	False	20.26
0.7498158690785499	0.7498158690785499	0.7498158690785499	0.7498158690785499	0.0	0.0	0.0		true_biology	True	THCA	GradientBoosting	392	3000	False	25.63
0.6952976088569309	0.6952976088569309	0.6952976088569309	0.6952976088569309	0.0	0.0	0.0		ambiguous	True	SKCM	LogReg_l2	212	3000	False	0.88
0.5292710532823527	0.5292710532823527	0.5292710532823527	0.5292710532823527	0.0	0.0	0.0		no_signal	True	SKCM	RandomForest	212	3000	False	2.12
0.6736441629096996	0.6736441629096996	0.6734900797047689	0.6734900797047689	0.0	0.0	0.0		ambiguous	True	SKCM	LogReg_elasticnet	212	3000	False	15.1
0.48908030398143393	0.510919696018566	0.48908030398143393	0.510919696018566	0.010919696018566016	0.010919696018566016	0.0		no_signal	True	SKCM	XGBoost	212	3000	False	15.22
0.49116851186060223	0.5088314881393978	0.49116851186060223	0.5088314881393978	0.008831488139397825	0.008831488139397825	0.0		no_signal	True	SKCM	GradientBoosting	212	3000	False	17.57
0.9818181818181818	0.9818181818181818	0.9848484848484849	0.9848484848484849	0.0	0.0	0.0		true_biology	True	LGG	LogReg_l2	142	3000	False	163.76
0.9815850815850816	0.9815850815850816	0.9938228438228438	0.9938228438228438	0.0	0.0	0.0		true_biology	True	LGG	RandomForest	142	3000	False	177.7
0.9720279720279721	0.9720279720279721	0.9755244755244755	0.9755244755244755	0.0	0.0	0.0		true_biology	True	LGG	XGBoost	142	3000	False	198.44
0.9635198135198135	0.9635198135198135	0.9711538461538461	0.9711538461538461	0.0	0.0	0.0		true_biology	True	LGG	GradientBoosting	142	3000	False	255.21
0.9824592074592075	0.9824592074592075	0.986013986013986	0.986013986013986	0.0	0.0	0.0		true_biology	True	LGG	LogReg_elasticnet	142	3000	False	257.6
0.9557114339580792	0.9557114339580792	0.9557114339580792	0.9557114339580792	0.0	0.0	0.0		true_biology	True	LUAD	LogReg_l2	236	3000	False	0.84
0.3898044434586522	0.6101955565413478	0.3898044434586522	0.6101955565413478	0.11019555654134783	0.11019555654134783	0.0		partial_batch	True	LUAD	RandomForest	236	3000	False	2.2
0.5732857996623661	0.5732857996623661	0.5732857996623661	0.5732857996623661	0.0	0.0	0.0		no_signal	True	LUAD	XGBoost	236	3000	False	9.08
0.9564667972841423	0.9564667972841423	0.9560730964967408	0.9560730964967408	0.0	0.0	0.0		true_biology	True	LUAD	LogReg_elasticnet	236	3000	False	19.75
0.5	0.5	0.5	0.5	0.0	0.0	0.0		no_signal	True	LUAD	GradientBoosting	236	3000	False	24.82
0.9735021783315205	0.9735021783315205	0.9735021783315205	0.9735021783315205	0.0	0.0	0.0		true_biology	True	COAD	LogReg_l2	372	3000	False	0.77
0.45847945711563515	0.5415205428843648	0.45847945711563515	0.5415205428843648	0.0415205428843648	0.0415205428843648	0.0		no_signal	True	COAD	RandomForest	372	3000	False	3.77
0.5530508079099341	0.5530508079099341	0.5530508079099341	0.5530508079099341	0.0	0.0	0.0		no_signal	True	COAD	XGBoost	372	3000	False	22.82
0.9751387921440524	0.9751387921440524	0.9751387921440524	0.9751387921440524	0.0	0.0	0.0		true_biology	True	COAD	LogReg_elasticnet	372	3000	False	31.22
0.6025252861454914	0.6025252861454914	0.6025252861454914	0.6025252861454914	0.0	0.0	0.0		ambiguous	True	COAD	GradientBoosting	372	3000	False	39.78
