cancer	cohort	source	n_samples	n_class_a	n_class_b	status	semi_synthetic	note
THCA	TCGA-THCA	tcga	351	293	58	included	False	real-local-reuse
THCA	GSE27155	geo	-1	-1	-1	present_unlabelled	False	GEO present but no BRAF/RAS column available in cached soft
THCA	GSE33630	geo	0	0	0	missing	False	not downloaded
THCA	GSE29265	geo	0	0	0	missing	False	not downloaded
SKCM	TCGA-SKCM	tcga	150	75	75	semi_synthetic_fallback	True	TCGA SKCM not cached locally; using semi-synthetic BRAF_vs_NRAS
SKCM	GSE65904	geo	100	50	50	semi_synthetic_fallback	True	GSE65904 semi-synthetic cohort with cohort-specific shift
SKCM	GSE22153	geo	100	50	50	semi_synthetic_fallback	True	GSE22153 semi-synthetic cohort with cohort-specific shift
LGG	TCGA-LGG	tcga	150	75	75	semi_synthetic_fallback	True	TCGA LGG not cached locally; using semi-synthetic IDH_mut_vs_wt
LGG	GSE16011	geo	100	50	50	semi_synthetic_fallback	True	GSE16011 semi-synthetic cohort with cohort-specific shift
LGG	GSE4271	geo	100	50	50	semi_synthetic_fallback	True	GSE4271 semi-synthetic cohort with cohort-specific shift
LUAD	TCGA-LUAD	tcga	150	75	75	semi_synthetic_fallback	True	TCGA LUAD not cached locally; using semi-synthetic KRAS_vs_EGFR
LUAD	GSE31210	geo	100	50	50	semi_synthetic_fallback	True	GSE31210 semi-synthetic cohort with cohort-specific shift
LUAD	GSE72094	geo	100	50	50	semi_synthetic_fallback	True	GSE72094 semi-synthetic cohort with cohort-specific shift
COAD	TCGA-COAD	tcga	150	75	75	semi_synthetic_fallback	True	TCGA COAD not cached locally; using semi-synthetic CMS1_vs_CMS2
COAD	GSE39582	geo	100	50	50	semi_synthetic_fallback	True	GSE39582 semi-synthetic cohort with cohort-specific shift
COAD	GSE17536	geo	100	50	50	semi_synthetic_fallback	True	GSE17536 semi-synthetic cohort with cohort-specific shift
