cancer	cohort_type	cohort_id	n_rnaseq	n_maf	n_class_A	n_class_B	n_usable
THCA	tcga	TCGA-THCA	330		293	58	330
THCA	geo	GSE27155	99		28	13	41
THCA	geo	GSE33630	0		0	0	0
THCA	geo	GSE29265	0		0	0	0
SKCM	tcga	TCGA-SKCM	257	467.0	204	110	172
SKCM	geo	GSE65904	0		0	0	0
SKCM	geo	GSE22153	57		27	12	39
LGG	tcga	TCGA-LGG	260	509.0	414	95	257
LGG	geo	GSE16011	0		0	0	0
LGG	geo	GSE4271	0		0	0	0
LUAD	tcga	TCGA-LUAD	254	544.0	139	51	87
LUAD	geo	GSE31210	246		20	127	147
LUAD	geo	GSE72094	0		0	0	0
COAD	tcga	TCGA-COAD	251	428.0	49	150	102
COAD	geo	GSE39582	585		51	217	268
COAD	geo	GSE17536	0		0	0	0
