target	drug_name	drug_id	max_phase	original_indication	repurposing_score	rationale	source	pchembl_value	first_approval	withdrawn_flag	oral	parenteral	mechanism_of_action
GABRB2	cannabidiol	CHEMBL190461	4.0		0.72	phase 4; potency=0.40 mech_fit=0.50 offpatent=0.20	chembl	6.89	2018.0	False	True	False	
CYP1B1	quercetin	DC:3514	3.0		0.64	phase 3; nan; potency=0.70 mech_fit=0.50 offpatent=0.30	chembl,drugcentral	7.64		False	False	False	nan
CYP1B1	cannabinol	CHEMBL74415	3.0		0.58	phase 3; potency=0.40 mech_fit=0.50 offpatent=0.30	chembl	6.83		False	False	False	
CYP1B1	resveratrol	CHEMBL165	3.0		0.58	phase 3; potency=0.40 mech_fit=0.50 offpatent=0.30	chembl	6.12		False	False	False	
CYP1B1	luteolin	CHEMBL151	2.0		0.565	phase 2; potency=0.70 mech_fit=0.50 offpatent=0.30	chembl	7.25		False	False	False	
GABRB2	etizolam	DC:1102	1.0		0.55	phase 1; nan; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral	8.1		False	False	False	nan
GABRB2	flunitrazepam	DC:1202	1.0		0.55	phase 1; nan; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral	9.0		False	False	False	nan
GABRB2	nitrazepam	DC:1945	1.0		0.55	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral	8.0		False	False	False	POSITIVE ALLOSTERIC MODULATOR
GABRB2	midazolam	DC:1802	1.0		0.55	phase 1; POSITIVE ALLOSTERIC MODULATOR | nan; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral	9.125		False	False	False	POSITIVE ALLOSTERIC MODULATOR | nan
GABRB2	triazolam	DC:2729	1.0		0.55	phase 1; POSITIVE ALLOSTERIC MODULATOR | nan; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral	9.222		False	False	False	POSITIVE ALLOSTERIC MODULATOR | nan
TACSTD2	sacituzumab govitecan	DC:5391	1.0		0.55	phase 1; ANTIBODY BINDING; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral	9.58		False	False	False	ANTIBODY BINDING
GABRB2	flumazenil	DC:1195	1.0		0.55	phase 1; nan; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral	9.3		False	False	False	nan
GABRB2	diazepam	DC:852	1.0		0.55	phase 1; POSITIVE ALLOSTERIC MODULATOR | nan; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral	8.68		False	False	False	POSITIVE ALLOSTERIC MODULATOR | nan
GABRB2	desalkylflurazepam	DC:809	1.0		0.55	phase 1; nan; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral	8.699		False	False	False	nan
GABRB2	delorazepam	DC:800	1.0		0.55	phase 1; nan; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral	8.745		False	False	False	nan
GABRB2	clonazepam	DC:703	1.0		0.55	phase 1; POSITIVE ALLOSTERIC MODULATOR | nan; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral	9.07		False	False	False	POSITIVE ALLOSTERIC MODULATOR | nan
GABRB2	flurazepam	DC:1218	1.0		0.55	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral	8.1		False	False	False	POSITIVE ALLOSTERIC MODULATOR
CYP1B1	baicalein	CHEMBL8260	2.0		0.505	phase 2; potency=0.40 mech_fit=0.50 offpatent=0.30	chembl	6.58		False	False	False	
CYP1B1	flavone	CHEMBL275638	2.0		0.505	phase 2; potency=0.40 mech_fit=0.50 offpatent=0.30	chembl	6.22		False	False	False	
CYP1B1	pterostilbene	CHEMBL83527	2.0		0.505	phase 2; potency=0.40 mech_fit=0.50 offpatent=0.30	chembl	6.05		False	False	False	
GABRB2	norfloxacin	DC:1967	1.0		0.49	phase 1; nan; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral	7.7		False	False	False	nan
GABRB2	zopiclone	DC:2873	1.0		0.49	phase 1; POSITIVE MODULATOR | nan; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral	7.54		False	False	False	POSITIVE MODULATOR | nan
GABRB2	zolpidem	DC:2870	1.0		0.49	phase 1; POSITIVE ALLOSTERIC MODULATOR | nan; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral	7.72		False	False	False	POSITIVE ALLOSTERIC MODULATOR | nan
GABRB2	clorazepate	DC:711	1.0		0.49	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral	7.47		False	False	False	POSITIVE ALLOSTERIC MODULATOR
GABRB2	baclofen	DC:282	1.0		0.49	phase 1; nan; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral	7.52		False	False	False	nan
GABRB2	brexanolone	DC:5324	1.0		0.49	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral	7.222		False	False	False	POSITIVE ALLOSTERIC MODULATOR
GABRB2	eltanolone	DC:997	1.0		0.49	phase 1; nan; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral	7.36		False	False	False	nan
CYP1B1	diosmetin	DC:4601	1.0		0.49	phase 1; nan; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral	7.54		False	False	False	nan
CYP1B1	kaempferol	CHEMBL150	1.0		0.49	phase 1; potency=0.70 mech_fit=0.50 offpatent=0.30	chembl	7.37		False	False	False	
GABRB2	alprazolam	DC:136	1.0		0.49	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral	7.432		False	False	False	POSITIVE ALLOSTERIC MODULATOR
GABRB2	alpidem	DC:134	1.0		0.49	phase 1; nan; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral	7.59		False	False	False	nan
GABRB2	nordazepam	DC:816	1.0		0.43	phase 1; nan; potency=0.40 mech_fit=0.50 offpatent=0.30	drugcentral	6.284		False	False	False	nan
GABRB2	zaleplon	DC:2857	1.0		0.43	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=0.40 mech_fit=0.50 offpatent=0.30	drugcentral	6.53		False	False	False	POSITIVE ALLOSTERIC MODULATOR
GABRB2	alfaxalone	DC:133	1.0		0.43	phase 1; nan; potency=0.40 mech_fit=0.50 offpatent=0.30	drugcentral	6.52		False	False	False	nan
CYP1B1	hesperetin	DC:1362	1.0		0.43	phase 1; nan; potency=0.40 mech_fit=0.50 offpatent=0.30	drugcentral	6.29		False	False	False	nan
GABRB2	thiocolchicoside	DC:4731	1.0		0.43	phase 1; NEGATIVE MODULATOR | nan; potency=0.40 mech_fit=0.50 offpatent=0.30	drugcentral	6.886		False	False	False	NEGATIVE MODULATOR | nan
