gene	beta_subtype	pvalue_OLS	pvalue_LMM	fdr_OLS	fdr_LMM	status
A1CF	-0.0279344	0.00826033	0.00256694	0.0177908	0.00490437	same
A2M	-0.136323	0.131081	0.138	0.172991	0.187734	nonsig_both
A4GALT	0.188246	0.0036296	0.0534883	0.00888433	0.0801679	lost_with_LMM
A4GNT	-0.0218725	0.0092486	0.0263466	0.019556	0.0422109	same
AAAS	-0.0706323	0.108377	0.0760479	0.146682	0.11009	nonsig_both
AACS	-0.534749	0.000138379	5.66561e-40	0.000485882	2.14706e-38	same
AADAC	-0.0458134	0.0043752	0.00313238	0.0104409	0.00589713	same
AAGAB	-0.301274	0.867747	1.26002e-15	0.890563	8.5486e-15	gained_with_LMM
AAK1	-0.592144	0.20399	7.61145e-18	0.25526	6.20979e-17	gained_with_LMM
AAMDC	-0.357918	1.80639e-16	4.24076e-17	3.0835e-15	3.22045e-16	same
AAMP	-0.134828	0.13772	2.77542e-05	0.180574	6.98629e-05	gained_with_LMM
AANAT	-0.116107	4.9509e-05	1.51734e-14	0.00019178	9.55784e-14	same
AAR2	0.0080332	0.017764	0.777601	0.0319093	0.819522	lost_with_LMM
AASDHPPT	-0.0317762	0.088777	0.462347	0.123315	0.536525	nonsig_both
AASS	-0.322047	0.0826221	6.26752e-06	0.116049	1.71398e-05	gained_with_LMM
AATF	0.0288111	0.0104149	0.334797	0.0215551	0.407873	lost_with_LMM
AATK	-0.727362	4.09987e-10	4.54996e-13	3.34095e-09	2.52034e-12	same
ABAT	-0.70272	0.0331761	1.06925e-13	0.0527126	6.25419e-13	gained_with_LMM
ABCA1	0.174351	0.00340181	0.0819744	0.00839519	0.117753	lost_with_LMM
ABCA11P	-0.182915	2.96231e-06	3.54408e-06	1.43877e-05	9.98105e-06	same
ABCA12	0.376783	0.00739417	6.52312e-09	0.0162908	2.45298e-08	same
ABCA2	0.272849	0.000573009	0.00131012	0.00175561	0.00261711	same
ABCA3	-0.250459	0.471249	5.27743e-05	0.529692	0.000127815	gained_with_LMM
ABCA4	0.798943	3.48739e-20	5.62849e-28	8.85842e-19	9.66417e-27	same
ABCA5	-0.584904	5.46117e-06	7.54455e-25	2.52668e-05	1.01782e-23	same
ABCA6	0.435823	0.000445003	1.52577e-05	0.0014008	3.99078e-05	same
ABCA7	-0.33831	0.250005	1.90231e-08	0.304288	6.82266e-08	gained_with_LMM
ABCA8	-0.935892	2.5407e-08	2.3966e-10	1.68088e-07	1.0352e-09	same
ABCB1	-0.371411	0.000149762	6.53951e-05	0.000521162	0.000156857	same
