gene	beta_subtype	abs_beta	pvalue_LMM	fdr_LMM	log2FC_raw_DESeq2	padj_raw_DESeq2	is_druggable	is_original_biomarker
DCSTAMP	5.6098	5.6098	1.10467e-136	1.29356e-132	5.11928	1.34861e-93	False	False
SFTPB	5.39421	5.39421	9.44188e-73	2.16793e-70	5.85026	4.55089e-104	False	True
FN1	4.95437	4.95437	1.01939e-109	1.98951e-106	5.90623	2.534e-232	False	False
SYT12	4.9417	4.9417	4.64464e-111	1.08777e-107	6.90986	5.85441e-257	False	False
TACSTD2	4.77376	4.77376	5.3062e-129	3.10678e-125	5.29007	1.77097e-222	True	True
SLC34A2	4.75605	4.75605	1.80845e-88	1.05885e-85	4.43677	3.54076e-107	False	True
TMPRSS6	4.38459	4.38459	4.44525e-93	3.062e-90	5.9143	1.25403e-158	False	False
MT1G	-4.26817	4.26817	8.89205e-55	7.33281e-53	-4.15859	8.02658e-39	False	True
TPO	-4.24666	4.24666	4.94738e-43	2.18618e-41	-3.06244	1.83747e-21	False	False
TMPRSS4	4.0191	4.0191	8.45687e-74	2.02102e-71	4.91048	9.92862e-109	True	True
KLK7	3.99502	3.99502	3.02613e-73	7.08719e-71	6.07247	9.74678e-143	False	False
SERPINA1	3.93421	3.93421	2.86519e-90	1.76586e-87	3.9368	2.10145e-130	False	False
DIO1	-3.87893	3.87893	2.11433e-43	9.5594e-42	-3.2903	2.17587e-22	False	False
CHI3L1	3.86957	3.86957	2.53305e-45	1.29933e-43	4.58042	2.04691e-68	False	True
SLC27A6	3.85234	3.85234	2.52339e-78	7.9862e-76	4.46995	4.55469e-104	False	True
KCNN4	3.81228	3.81228	7.40181e-101	9.63057e-98	5.07305	8.33407e-163	False	False
B3GNT3	3.76781	3.76781	1.62167e-65	2.63746e-63	4.67696	2.39298e-84	True	True
CST6	3.69753	3.69753	1.49592e-75	3.98119e-73	4.22831	1.19222e-84	False	True
GABRB2	3.65753	3.65753	2.07887e-74	5.07157e-72	4.42882	1.47767e-141	True	True
CYP1B1	3.35269	3.35269	1.54175e-80	5.47086e-78	4.09722	4.96866e-122	True	True
LAMB3	3.32813	3.32813	7.60476e-76	2.12028e-73	3.28923	5.47059e-78	False	True
CXCL14	3.30885	3.30885	2.05406e-22	2.3651e-21	3.40442	1.2268e-26	False	True
CLDN10	3.19374	3.19374	8.0154e-55	6.65676e-53	6.76847	1.77095e-152	False	False
KLK10	3.18177	3.18177	2.53385e-50	1.68587e-48	3.24788	4.84851e-44	False	False
PDLIM4	3.17623	3.17623	8.54731e-104	1.42984e-100	3.47603	4.99694e-139	False	True
IGKC	3.11339	3.11339	1.68484e-12	8.87515e-12	3.61419	5.10717e-18	False	True
MGAT3	3.04357	3.04357	3.27723e-69	6.31137e-67	4.23196	3.03365e-138	False	False
ST6GALNAC5	3.0214	3.0214	4.31343e-49	2.73028e-47	5.61771	3.94668e-107	False	False
CRLF1	2.9921	2.9921	3.49567e-29	6.54949e-28	3.48864	4.88317e-36	False	True
MT1H	-2.9895	2.9895	8.35283e-48	4.86625e-46	-4.48044	2.30859e-40	False	True
KCNAB1	-2.9567	2.9567	5.91883e-63	8.66369e-61	-2.94595	3.02175e-48	False	True
COMP	2.93307	2.93307	2.04499e-31	4.50128e-30	3.66205	4.74734e-39	False	True
IGHG1	2.93157	2.93157	2.71211e-10	1.16461e-09	3.11753	3.00739e-13	False	True
MUC1	2.91637	2.91637	1.0387e-59	1.19083e-57	3.20143	6.63667e-62	False	True
ALOX5	2.90577	2.90577	1.55292e-39	5.77292e-38	3.94072	3.62453e-69	False	True
KRT19	2.90422	2.90422	2.32684e-86	1.18467e-83	2.74649	4.1591e-69	False	False
SCNN1A	2.83907	2.83907	1.42591e-84	6.42209e-82	2.37821	9.55941e-54	False	False
LUM	2.82593	2.82593	2.54298e-32	5.95566e-31	3.12283	1.99765e-35	False	True
HGD	-2.81145	2.81145	4.41627e-68	7.83553e-66	-2.72005	1.34101e-32	False	True
MT1F	-2.78908	2.78908	1.11071e-59	1.25061e-57	-2.76504	6.61292e-41	False	True
BMP8A	-2.78569	2.78569	7.16752e-28	1.20418e-26	-3.2732	4.39951e-26	False	True
SPOCK2	2.78244	2.78244	6.99356e-56	6.11154e-54	3.65072	4.66027e-92	False	False
SFN	2.76279	2.76279	8.01301e-49	4.96467e-47	3.80005	5.90787e-67	False	True
IL1RL1	2.75831	2.75831	6.78404e-23	8.08973e-22	4.73197	3.74751e-55	False	True
CA12	-2.74673	2.74673	2.07614e-38	7.30078e-37	-2.69431	6.88185e-30	False	True
COL8A2	2.73849	2.73849	3.26558e-103	4.78e-100	3.07231	1.5221e-127	False	True
TNC	2.71227	2.71227	4.15782e-46	2.20482e-44	2.86121	1.00074e-46	False	True
GRIN2C	-2.67329	2.67329	6.9168e-40	2.61277e-38	-2.89794	5.37519e-27	False	False
GABRB3	-2.67054	2.67054	1.06322e-57	1.02052e-55	-3.00187	1.32834e-40	False	True
ABCC8	-2.66634	2.66634	8.46468e-59	9.01104e-57	-3.33444	3.93258e-33	False	True
PIWIL1	-2.65084	2.65084	6.16943e-44	2.88976e-42	-2.8845	9.43752e-27	False	True
CARTPT	-2.6349	2.6349	2.3267e-41	9.52645e-40	-5.07564	1.31045e-16	False	False
CLDN16	2.62804	2.62804	4.56858e-35	1.28911e-33	3.01939	1.46744e-47	False	True
ITGB8	2.60329	2.60329	2.69536e-115	7.89067e-112	3.06478	1.71666e-144	False	True
DTX4	2.56543	2.56543	1.2303e-96	1.02906e-93	2.86752	4.99951e-145	False	True
SLPI	2.55965	2.55965	1.23262e-29	2.38578e-28	3.70326	1.40091e-54	False	True
SLC4A4	-2.5446	2.5446	5.73258e-46	2.99681e-44	-2.17672	6.0492e-20	False	True
AHNAK2	2.52768	2.52768	5.09511e-48	2.99818e-46	3.32551	8.39612e-72	False	True
EDN3	-2.50057	2.50057	1.27072e-23	1.58806e-22	-1.88681	4.81281e-07	False	False
CDH11	2.48192	2.48192	3.43552e-44	1.61566e-42	3.37732	1.49841e-66	False	True
TRIM29	2.47357	2.47357	1.59252e-39	5.90139e-38	3.4752	1.28811e-49	False	False
CEACAM6	2.47323	2.47323	2.72339e-28	4.75275e-27	6.51687	3.16541e-102	False	False
CFH	2.47094	2.47094	5.55551e-68	9.7097e-66	2.62456	1.4345e-67	False	True
IGFBP5	2.44982	2.44982	9.6933e-50	6.27119e-48	2.78764	2.51506e-67	False	True
LCN2	2.44905	2.44905	1.98662e-23	2.45135e-22	2.84387	8.3543e-26	False	True
STRA6	2.44392	2.44392	7.766e-34	2.02539e-32	2.33923	1.74893e-24	False	True
CNTFR	-2.43075	2.43075	3.87547e-59	4.24129e-57	-4.69153	8.31349e-47	False	False
