sample_id	dataset	condition	bivariate_I	perm_p_negative	perm_mean	n_spots	interpretation
GSM7221915_P1	GSE230424	PTC_HT	-0.35876234489927844	0.01	-0.0017498732305107362	3566	negative bivariate I = spatially anti-correlated
GSM7221916_P2	GSE230424	PTC_HT	-0.3985200236626162	0.01	0.0010471408821878757	3005	negative bivariate I = spatially anti-correlated
GSM7221917_P3	GSE230424	PTC_HT	-0.27645863283936495	0.01	0.0002114594747871017	2961	negative bivariate I = spatially anti-correlated
GSM7221918_P4	GSE230424	PTC_HT	-0.27145225649475546	0.01	-0.0008386863019736458	4601	negative bivariate I = spatially anti-correlated
GSM7908359_C1	GSE248205	CONTROL	-0.26989782848337784	0.01	-0.0033859558195340053	1064	negative bivariate I = spatially anti-correlated
GSM7908360_C2	GSE248205	CONTROL	-0.08417882175567334	0.01	0.0004214406275792567	1744	negative bivariate I = spatially anti-correlated
GSM7908361_HT1	GSE248205	HT	-0.42601650042252925	0.01	0.0008194339481017562	1927	negative bivariate I = spatially anti-correlated
GSM7908362_HT2	GSE248205	HT	-0.23972828068924704	0.01	-0.0007926244979577081	2595	negative bivariate I = spatially anti-correlated
GSM7908363_HT3	GSE248205	HT	-0.5099691199855282	0.01	0.0031803354145994917	1980	negative bivariate I = spatially anti-correlated
GSM7908364_GD1	GSE248205	GD	-0.20863553900602813	0.01	0.0013693697577671275	2266	negative bivariate I = spatially anti-correlated
GSM7908365_GD2	GSE248205	GD	-0.14204757363223405	0.01	0.00011784070875793237	2005	negative bivariate I = spatially anti-correlated
GSM7908366_GD3	GSE248205	GD	-0.21367001512339817	0.01	0.0016997513631446363	1969	negative bivariate I = spatially anti-correlated
