sample_id	dataset	condition	n_spots	TROP2_mean	rho_TROP2_DM1	p_TROP2_DM1	rho_TROP2_Epi	p_TROP2_Epi
GSM7221915_P1	GSE230424	PTC_HT	3566	0.03491257503628731	0.005671315132938594	0.7349470877348646	-0.004465479878646105	0.7898014790043757
GSM7221916_P2	GSE230424	PTC_HT	3005	0.12697826325893402	-0.0283706761449863	0.11997316575055954	0.04583031126797026	0.01198466696031385
GSM7221917_P3	GSE230424	PTC_HT	2961	0.01801309920847416	-0.02528948241129822	0.16889348454781072	0.0031607273690939315	0.8635011981414494
GSM7221918_P4	GSE230424	PTC_HT	4601	0.260843962430954	0.0037179589726478103	0.8009452188592614	0.01650446835271833	0.2630201871899103
GSM7908359_C1	GSE248205	CONTROL	1064	0.01193203404545784	-0.07086643732056773	0.020789642592435605	0.007990666905419634	0.7945973206972008
GSM7908360_C2	GSE248205	CONTROL	1744	0.04016472026705742	-0.02284189804372861	0.3404147341661962	-0.0021352395437607093	0.9289973594548759
GSM7908364_GD1	GSE248205	GD	2266	0.032931119203567505	-0.012185040109759751	0.5620898982193855	0.04558567229859755	0.03001263364184112
GSM7908365_GD2	GSE248205	GD	2005	0.010734401643276215	-0.05331071339247595	0.01697194606918501	0.022281922546243126	0.3186556537757189
GSM7908366_GD3	GSE248205	GD	1969	0.01386562641710043	0.03633209616275643	0.10702995570777452	0.0026211599838859754	0.9074653787060536
GSM7908361_HT1	GSE248205	HT	1927	0.018500594422221184	-0.015967803168912484	0.48359125694053845	-0.021060180010167545	0.35548937361040034
GSM7908362_HT2	GSE248205	HT	2595	0.02215076982975006	0.000113821033001058	0.995375981731723	0.020171563941182337	0.30433951122511715
GSM7908363_HT3	GSE248205	HT	1980	0.043457239866256714	-0.01364396798666688	0.5440081420111098	-0.007115691643720858	0.7516743690025388
GSM7980860_N-1	GSE250521	PT	3395	0.010015304200351238	0.016967643769278597	0.32297907697815004	-0.004202331140521953	0.8066371723076455
GSM7980861_N-2	GSE250521	PT	3780	0.023083621636033058	0.026042987727276975	0.1093970272097457	-0.026676722179882748	0.10103017828175133
GSM7980862_N-3	GSE250521	PT	4538	0.33258286118507385	-0.011016426733078946	0.4581260396725991	0.02191751826005901	0.13988023841591757
GSM7980863_N-4	GSE250521	PT	3027	0.2091825008392334	-0.08304079020210335	4.76746164032658e-06	0.2562659521266634	1.3519273820818097e-46
GSM7980864_PTC-1	GSE250521	PTC	2262	0.9453904032707214	-0.06094788332165567	0.0037339515930543774	0.23000511442161448	1.5339273545893647e-28
GSM7980865_PTC-2	GSE250521	PTC	4947	1.0708671808242798	0.004425220939012342	0.755671084975903	0.0012531480022049944	0.9297830357452863
GSM7980866_PTC-3	GSE250521	PTC	4516	1.254626989364624	0.01653773791169618	0.26651497883050057	0.03196061637948737	0.03173397533276677
GSM7980867_PTC-4	GSE250521	PTC	4498	1.1533509492874146	-0.022366098782777573	0.13366602297249675	0.018555518626485166	0.21341616940725422
GSM7980868_LPTC-1	GSE250521	LPTC	1520	0.9720588326454163	-0.16257097918936397	1.8245557248099512e-10	0.5449494219037737	2.6755961501178264e-118
GSM7980869_LPTC-2	GSE250521	LPTC	4071	0.6460755467414856	0.0014314582147212731	0.927249994813581	0.008369149267544469	0.5934565156797529
GSM7980870_LPTC-3	GSE250521	LPTC	3336	0.7504481673240662	0.012872517025270683	0.4573336708507337	0.0007220021635710385	0.9667491245556483
GSM7980871_LPTC-4	GSE250521	LPTC	4707	1.6649267673492432	0.0014298439789808901	0.9218750173484903	0.02394111560953465	0.10051932773013521
GSM7980872_ATC-1	GSE250521	ATC	4715	0.3736354410648346	-0.016038746576549263	0.2708561396771592	0.09365859621511768	1.1666467737999643e-10
GSM7980873_ATC-2	GSE250521	ATC	2354	0.03288790211081505	0.0038953318301291743	0.8501757461129381	0.00833964212704412	0.685907429802144
GSM7980874_ATC-3	GSE250521	ATC	1621	0.0016631203470751643	0.010179913854580813	0.6821327690401878	0.10461831790541706	2.4382364747928975e-05
GSM7980875_ATC-4	GSE250521	ATC	2586	0.018294423818588257	0.00373068409383562	0.8496034642820101	0.04572210426193347	0.020062037549744904
