dataset	version	scope	comparison	n_a	n_b	mean_a	mean_b	delta_mean	mannwhitney_U	mannwhitney_p
GSE248205	raw	all	CONTROL_vs_HT	2	3	4.2946478904990865e-08	-3.2553032097052132e-09	4.620178211469608e-08	6.0	0.2
GSE248205	raw	all	CONTROL_vs_GD	2	3	4.2946478904990865e-08	1.4373980049516851e-09	4.150908090003918e-08	4.0	0.8
GSE248205	raw	all	HT_vs_GD	3	3	-3.2553032097052132e-09	1.4373980049516851e-09	-4.6927012146568986e-09	6.0	0.7
GSE248205	raw	epi50	CONTROL_vs_HT	2	3	-0.1487550515829441	-0.2948581645650985	0.1461031129821544	6.0	0.2
GSE248205	raw	epi50	CONTROL_vs_GD	2	3	-0.1487550515829441	-0.16777124144560618	0.01901618986266207	4.0	0.8
GSE248205	raw	epi50	HT_vs_GD	3	3	-0.2948581645650985	-0.16777124144560618	-0.12708692311949232	0.0	0.1
GSE248205	raw	epi25	CONTROL_vs_HT	2	3	-0.16988904039380476	-0.49489469413538867	0.3250056537415839	6.0	0.2
GSE248205	raw	epi25	CONTROL_vs_GD	2	3	-0.16988904039380476	-0.1782160439585616	0.008327003564756852	4.0	0.8
GSE248205	raw	epi25	HT_vs_GD	3	3	-0.49489469413538867	-0.1782160439585616	-0.31667865017682706	0.0	0.1
GSE248205	resid	all	CONTROL_vs_HT	2	3	-2.287915628107647e-18	-2.5713959548019025e-18	2.834803266942556e-19	3.0	1.0
GSE248205	resid	all	CONTROL_vs_GD	2	3	-2.287915628107647e-18	1.842657495672237e-18	-4.130573123779884e-18	2.0	0.8
GSE248205	resid	all	HT_vs_GD	3	3	-2.5713959548019025e-18	1.842657495672237e-18	-4.414053450474139e-18	2.0	0.4
GSE248205	resid	epi50	CONTROL_vs_HT	2	3	-0.04088077970884896	-0.21200244394369028	0.17112166423484132	6.0	0.2
GSE248205	resid	epi50	CONTROL_vs_GD	2	3	-0.04088077970884896	-0.056814254305147	0.015933474596298042	4.0	0.8
GSE248205	resid	epi50	HT_vs_GD	3	3	-0.21200244394369028	-0.056814254305147	-0.15518818963854328	0.0	0.1
GSE248205	resid	epi25	CONTROL_vs_HT	2	3	-0.029091154523980277	-0.36957413703608544	0.3404829825121052	6.0	0.2
GSE248205	resid	epi25	CONTROL_vs_GD	2	3	-0.029091154523980277	-0.0652087426230931	0.03611758809911283	6.0	0.2
GSE248205	resid	epi25	HT_vs_GD	3	3	-0.36957413703608544	-0.0652087426230931	-0.3043653944129923	0.0	0.1
