dataset	sample_id	source_accession	condition_raw	condition_inferred	disease_axis	has_HE_image	has_spatial_coords	n_spots_raw	n_genes	n_in_tissue	h5ad	image	notes	status
GSE230424	GSM7221915_P1	GSM7221915	P1	PTC_HT	PTC_HT	True	True	3647	36601	3647	project_external_st/data/processed/GSE230424/GSM7221915_P1/GSM7221915_P1.raw.h5ad	project_external_st/data/processed/GSE230424/GSM7221915_P1/HE.jpg	GEO sample_title=P[1-4],ST-seq; per-patient HT vs PTC+HT split not in metadata; user spec=PTC+HT all	ok
GSE230424	GSM7221916_P2	GSM7221916	P2	PTC_HT	PTC_HT	True	True	3154	36601	3154	project_external_st/data/processed/GSE230424/GSM7221916_P2/GSM7221916_P2.raw.h5ad	project_external_st/data/processed/GSE230424/GSM7221916_P2/HE.jpg	GEO sample_title=P[1-4],ST-seq; per-patient HT vs PTC+HT split not in metadata; user spec=PTC+HT all	ok
GSE230424	GSM7221917_P3	GSM7221917	P3	PTC_HT	PTC_HT	True	True	4062	36601	4062	project_external_st/data/processed/GSE230424/GSM7221917_P3/GSM7221917_P3.raw.h5ad	project_external_st/data/processed/GSE230424/GSM7221917_P3/HE.jpg	GEO sample_title=P[1-4],ST-seq; per-patient HT vs PTC+HT split not in metadata; user spec=PTC+HT all	ok
GSE230424	GSM7221918_P4	GSM7221918	P4	PTC_HT	PTC_HT	True	True	4626	36601	4626	project_external_st/data/processed/GSE230424/GSM7221918_P4/GSM7221918_P4.raw.h5ad	project_external_st/data/processed/GSE230424/GSM7221918_P4/HE.jpg	GEO sample_title=P[1-4],ST-seq; per-patient HT vs PTC+HT split not in metadata; user spec=PTC+HT all	ok
GSE248205	GSM7908359_C1	GSM7908359	C1	CONTROL	CONTROL	True	True	1302	36601	1302	project_external_st/data/processed/GSE248205/GSM7908359_C1/GSM7908359_C1.raw.h5ad	project_external_st/data/processed/GSE248205/GSM7908359_C1/tissue_hires_image.png	Martinez-Hernandez 2024 PMID 39003267; full Visium output (incl scalefactors+hires png)	ok
GSE248205	GSM7908360_C2	GSM7908360	C2	CONTROL	CONTROL	True	True	2290	36601	2290	project_external_st/data/processed/GSE248205/GSM7908360_C2/GSM7908360_C2.raw.h5ad	project_external_st/data/processed/GSE248205/GSM7908360_C2/tissue_hires_image.png	Martinez-Hernandez 2024 PMID 39003267; full Visium output (incl scalefactors+hires png)	ok
GSE248205	GSM7908364_GD1	GSM7908364	GD1	GD	GD	True	True	2279	36601	2279	project_external_st/data/processed/GSE248205/GSM7908364_GD1/GSM7908364_GD1.raw.h5ad	project_external_st/data/processed/GSE248205/GSM7908364_GD1/tissue_hires_image.png	Martinez-Hernandez 2024 PMID 39003267; full Visium output (incl scalefactors+hires png)	ok
GSE248205	GSM7908365_GD2	GSM7908365	GD2	GD	GD	True	True	2171	36601	2171	project_external_st/data/processed/GSE248205/GSM7908365_GD2/GSM7908365_GD2.raw.h5ad	project_external_st/data/processed/GSE248205/GSM7908365_GD2/tissue_hires_image.png	Martinez-Hernandez 2024 PMID 39003267; full Visium output (incl scalefactors+hires png)	ok
GSE248205	GSM7908366_GD3	GSM7908366	GD3	GD	GD	True	True	2133	36601	2133	project_external_st/data/processed/GSE248205/GSM7908366_GD3/GSM7908366_GD3.raw.h5ad	project_external_st/data/processed/GSE248205/GSM7908366_GD3/tissue_hires_image.png	Martinez-Hernandez 2024 PMID 39003267; full Visium output (incl scalefactors+hires png)	ok
GSE248205	GSM7908361_HT1	GSM7908361	HT1	HT	HT	True	True	2041	36601	2041	project_external_st/data/processed/GSE248205/GSM7908361_HT1/GSM7908361_HT1.raw.h5ad	project_external_st/data/processed/GSE248205/GSM7908361_HT1/tissue_hires_image.png	Martinez-Hernandez 2024 PMID 39003267; full Visium output (incl scalefactors+hires png)	ok
GSE248205	GSM7908362_HT2	GSM7908362	HT2	HT	HT	True	True	2625	36601	2625	project_external_st/data/processed/GSE248205/GSM7908362_HT2/GSM7908362_HT2.raw.h5ad	project_external_st/data/processed/GSE248205/GSM7908362_HT2/tissue_hires_image.png	Martinez-Hernandez 2024 PMID 39003267; full Visium output (incl scalefactors+hires png)	ok
GSE248205	GSM7908363_HT3	GSM7908363	HT3	HT	HT	True	True	2144	36601	2144	project_external_st/data/processed/GSE248205/GSM7908363_HT3/GSM7908363_HT3.raw.h5ad	project_external_st/data/processed/GSE248205/GSM7908363_HT3/tissue_hires_image.png	Martinez-Hernandez 2024 PMID 39003267; full Visium output (incl scalefactors+hires png)	ok
