gene	fpkm_untreated	fpkm_digoxin	log2fc	panel_set
TSHR	19.9912	38.7162	0.950095153641437	8-gene
SLC5A5	0.121348	0.268345	0.7347413213247486	8-gene
SLC26A4	8.26226	11.9932	0.5322312432559629	TDS-16 extra
NKX2-1	21.9824	31.518	0.5178491344794979	8-gene
GLIS3	1.67888	2.27698	0.41816057212893676	TDS-16 extra
TG	396.225	523.318	0.4012795638499444	8-gene
THRA	2.5463	3.3523	0.3835812149173722	TDS-16 extra
DUOX1	5.39015	6.43276	0.25084707251149085	TDS-16 extra
TPO	37.5336	43.1901	0.20201583011745242	8-gene
FOXE1	18.0535	19.9822	0.14566959777262375	8-gene
THRB	0.473423	0.496743	0.057509965853010436	TDS-16 extra
DIO2	15.4719	15.2192	-0.023604026353920216	TDS-16 extra
PAX8	49.5385	47.3974	-0.06361097736468416	8-gene
DIO1	11.5314	10.5825	-0.1227754385624029	8-gene
DUOX2	13.3818	12.1012	-0.14399008315731238	TDS-16 extra
SLC5A8	2.517	2.09315	-0.2549094361977405	TDS-16 extra
