quantity	value
panel patients	500.0
explicit YES I-131 (withdrawal or rhTSH)	103.0
explicit NO I-131	72.0
I-131 status not recorded	325.0
has an mCi course in the radiation file	235.0
CONFLICT - explicit NO but mCi course present	18.0
MISSED - explicit YES but no mCi course	2.0
conflict share of the mCi cohort (%)	7.7
explicit I-131 — n with score and PFI	103.0
explicit I-131 — PFI events	11.0
explicit NO I-131 — n with score and PFI	72.0
explicit NO I-131 — PFI events	8.0
panel score differs by preparation method (Mann-Whitney P)	0.4396
