endpoint	term	or	ci_low	ci_high	p	n_used	n_events	terms_kept
structural disease at last follow-up	Intercept	0.04506317382788092	0.006954637257797549	0.29199073368851836	0.0011493976988640481	216	34	RAI_8,stage_high,braf,AGE,purity,rai_dose_mci
structural disease at last follow-up	RAI_8	1.0534062589285247	0.48540755110163303	2.2860475570093715	0.895288605751909	216	34	RAI_8,stage_high,braf,AGE,purity,rai_dose_mci
structural disease at last follow-up	stage_high	1.8689725284895686	0.6898688827558765	5.063365517074319	0.2187462391742262	216	34	RAI_8,stage_high,braf,AGE,purity,rai_dose_mci
structural disease at last follow-up	braf	0.8830962796598176	0.3482708023747576	2.239231752508043	0.7934160214090495	216	34	RAI_8,stage_high,braf,AGE,purity,rai_dose_mci
structural disease at last follow-up	AGE	1.0037939729373802	0.9718787131383924	1.0367572892420482	0.8183217679851507	216	34	RAI_8,stage_high,braf,AGE,purity,rai_dose_mci
structural disease at last follow-up	purity	0.4216997550742629	0.010081169068221759	17.639887023644693	0.6503516470365487	216	34	RAI_8,stage_high,braf,AGE,purity,rai_dose_mci
structural disease at last follow-up	rai_dose_mci	1.008773911138345	1.0028022842373607	1.0147810987160497	0.003929874607544675	216	34	RAI_8,stage_high,braf,AGE,purity,rai_dose_mci
persistent disease within 3 months of surgery	Intercept	0.13293647812589332	0.04623159530124897	0.38225172852814554	0.00018074723827115976	72	13	RAI_8,stage_high
persistent disease within 3 months of surgery	RAI_8	0.20189904420865978	0.05071200586032073	0.8038180182548306	0.023221891954747248	72	13	RAI_8,stage_high
persistent disease within 3 months of surgery	stage_high	1.1440781637988016	0.30968819422869787	4.22655712834385	0.8400134412506013	72	13	RAI_8,stage_high
new tumour event after initial treatment	Intercept	0.039613562077554204	0.01491010026675277	0.10524639488651812	9.418821596855301e-11	145	9	RAI_8
new tumour event after initial treatment	RAI_8	0.2025644488520063	0.05395086556794846	0.7605504658129876	0.018007601619048894	145	9	RAI_8
