probe_id	mean_tumor	mean_normal	delta_beta	abs_delta	t_stat	p_value	q_value	mean_beta_normal	mean_beta_atc	delta_beta_atc_minus_normal	cohen_d_atc_minus_normal	detection_fail_rate_p001	direction_match_tcga	abs_delta_ratio_gse146003_to_tcga	p_mwu_gse146003
cg13606889	0.2710062091216214	0.7028269719402986	-0.4318207628186772	0.4318207628186772	-17.534118585868754	2.3835225388412397e-36	3.972537564735399e-33	0.5829203177391956	0.2926557931921617	-0.29026452454703394	-1.8534149074012554	0.0	True	0.6721875128290598	0.023976023976023976
cg26182406	0.3127711617567568	0.7356115308955223	-0.4228403691387655	0.4228403691387655	-17.996017906286156	4.189847422363583e-36	5.2373092779544776e-33	0.6411829859808443	0.3477120492263285	-0.29347093675451585	-2.087324634572904	0.0	True	0.6940466383383705	0.007992007992007992
cg20834178	0.2530219197567568	0.6701776580597014	-0.4171557383029445	0.4171557383029445	-14.813292246086457	5.396075221920641e-29	2.1078418835627505e-27	0.47738671586821574	0.15094909767561396	-0.32643761819260175	-1.946075713420005	0.0	True	0.7825317698387696	0.013986013986013986
cg13591783	0.2658324242297298	0.677761495970149	-0.4119290717404191	0.4119290717404191	-15.323307711922116	1.4126470097657837e-29	6.6906584723365925e-28	0.5483872272617489	0.17633192553570204	-0.3720553017260469	-2.2663211252506406	0.0	True	0.9032023405245381	0.007992007992007992
cg18458509	0.298389012972973	0.7088793226865673	-0.4104903097135942	0.4104903097135942	-18.4506424465298	1.2434766896451866e-36	3.1086917241129664e-33	0.5900924466037292	0.22531504767791005	-0.3647773989258191	-2.4183095913004142	0.0	True	0.8886382706094336	0.003996003996003996
cg07388969	0.3319014599999998	0.7359794910447762	-0.4040780310447764	0.4040780310447764	-17.610492849568406	1.8389467748440437e-35	1.0216370971355795e-32	0.5502124569441991	0.302006476433786	-0.2482059805104131	-1.5456368104185239	0.0	True	0.6142525983623918	0.07592407592407593
cg23883632	0.362443078108108	0.7646662074626867	-0.4022231293545786	0.4022231293545786	-16.212075310884018	1.068100056848559e-30	9.051695397021687e-29	0.697421528907154	0.33260129296027774	-0.3648202359468763	-3.0792055706524613	0.14285714285714285	True	0.9070095907519781	0.001998001998001998
cg08908131	0.4111769901351348	0.812434997761194	-0.4012580076260591	0.4012580076260591	-16.326810145625895	2.2732756029670053e-30	1.4667126423991654e-28	0.7614077277241721	0.4417305747379158	-0.31967715298625626	-1.9471259693493035	0.0	True	0.7966872857629553	0.007992007992007992
cg11228682	0.2749756323648649	0.673219774477612	-0.3982441421127471	0.3982441421127471	-15.32044039313308	5.526727600619274e-31	5.273848876471001e-29	0.5270357944589701	0.2642927015389897	-0.2627430929199804	-1.2788216298733261	0.07142857142857142	True	0.6597538171587093	0.1058941058941059
cg23190089	0.1770294669864865	0.5725219825373136	-0.395492515550827	0.395492515550827	-17.442972268146892	8.979839581240013e-37	3.1086917241129664e-33	0.48922647564718424	0.16299296588315332	-0.3262335097640309	-2.386287264068647	0.0	True	0.8248790986844979	0.013986013986013986
cg05521150	0.3679211805405407	0.7633183620895523	-0.3953971815490116	0.3953971815490116	-18.159873886593104	1.4421405824716324e-35	1.0216370971355795e-32	0.6345576930070036	0.3026149727041097	-0.3319427203028939	-2.57978905158263	0.0	True	0.8395171634822284	0.001998001998001998
cg09968361	0.44512771	0.8400127405970148	-0.3948850305970147	0.3948850305970147	-17.161171041531848	2.534751433123096e-29	1.0925652728978862e-27	0.7916161058821846	0.5908564878579621	-0.20075961802422249	-1.7413071122701644	0.0	True	0.5084001733889485	0.003996003996003996
cg11868461	0.3151928387297297	0.7100387423880596	-0.3948459036583299	0.3948459036583299	-13.73648456500037	1.0666288253487944e-26	1.8264192214876615e-25	0.5376897683375755	0.21798959905453738	-0.3197001692830381	-2.1168478825627104	0.07142857142857142	True	0.809683388686445	0.007992007992007992
cg03301058	0.2968386362027028	0.6871329456716417	-0.3902943094689389	0.3902943094689389	-14.46810843630954	3.072119104346668e-27	5.978800047748581e-26	0.5620206892898576	0.23064015108666241	-0.3313805382031952	-1.8764706545655399	0.0	True	0.8490529586611042	0.023976023976023976
cg06433467	0.2368139937432432	0.62700442119403	-0.3901904274507867	0.3901904274507867	-13.479391320641	5.233881718201037e-26	7.335261577883347e-25	0.4971218020842647	0.20926256687375439	-0.2878592352105103	-1.4840841312788762	0.0	True	0.7377403825387719	0.03596403596403597
cg09126279	0.3172082801351351	0.7072775992537315	-0.3900693191185964	0.3900693191185964	-16.529205131504916	5.763754825626883e-33	1.1084143895436314e-30	0.5530508057595994	0.15714725014370376	-0.39590355561589563	-3.8013131797954873	0.0	True	1.0149569222990475	0.001998001998001998
cg01432692	0.4561844954054055	0.842094162686567	-0.3859096672811614	0.3859096672811614	-16.048971217588655	9.197212028602523e-29	3.356646725767344e-27	0.7635804640345725	0.53628582246406	-0.2272946415705125	-1.595234086104811	0.0	True	0.5889840572584385	0.013986013986013986
cg03613942	0.3691236970945945	0.7537090532835821	-0.3845853561889875	0.3845853561889875	-16.92135336306157	3.4020253862236356e-32	4.4763491923995215e-30	0.6171808449771359	0.45274429853773873	-0.16443654643939715	-1.1349628921133723	0.07142857142857142	True	0.4275684026788375	0.07592407592407593
cg01668008	0.4580019010810809	0.8424587468656718	-0.3844568457845908	0.3844568457845908	-16.598648340542116	1.4136403591235856e-30	1.054955491883273e-28	0.7900180483319087	0.5899788208001135	-0.20003922753179515	-1.6732459270902535	0.0	True	0.5203164665297081	0.013986013986013986
cg03731202	0.3464910286486486	0.7303165856716416	-0.383825557022993	0.383825557022993	-14.462298554120093	1.9705298393035674e-27	4.088236181127733e-26	0.5693423465849258	0.2221018763012895	-0.34724047028363625	-2.1347362192933574	0.0	True	0.904683036160708	0.013986013986013986
